2026/02/08 18:14:45 http: TLS handshake error from [::1]:57401: client sent an HTTP request to an HTTPS server
2026/02/09 10:25:46 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 2.9495ms
2026/02/09 10:25:47 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 722.4µs
2026/02/09 10:25:47 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.151ms
2026/02/09 10:25:47 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.2632ms
2026/02/09 10:25:47 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 0s
2026/02/09 10:25:47 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 8.7965ms
2026/02/09 10:25:47 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 8.6148ms
2026/02/09 10:25:47 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.1782ms
2026/02/09 10:25:47 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 0s
2026/02/09 10:25:48 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.0637ms
2026/02/09 10:25:48 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 643.1µs
2026/02/09 10:25:48 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 629.3µs
2026/02/09 10:25:48 GET /about -> RemoteAddr: 127.0.0.1:64253 | Backend: http://localhost:8083 | Status: 200 | Duration: 582.4µs
